,Average Loss,TP,FP,FN,TN,Accuracy,MCC
1,0.0404499,3547.0,2126.0,251.0,490.0,62.94,0.18636328
2,0.039674994,3290.0,1824.0,508.0,792.0,63.64,0.20659749
3,0.035867147,3247.0,1402.0,551.0,1214.0,69.55,0.35101244
4,0.04077129,3603.0,2275.0,195.0,341.0,61.49,0.14030561
5,0.025804281,3315.0,746.0,483.0,1870.0,80.84,0.5992316
6,0.015721083,3487.0,367.0,311.0,2249.0,89.43,0.7805523
7,0.012512407,3562.0,284.0,236.0,2332.0,91.89,0.83177435
8,0.009056451,3616.0,182.0,182.0,2434.0,94.32,0.88250816
9,0.008926309,3644.0,156.0,154.0,2460.0,95.17,0.89992654
10,0.008774971,3627.0,177.0,171.0,2439.0,94.57,0.88763416
11,0.011275293,3595.0,241.0,203.0,2375.0,93.08,0.8564258
12,0.008922714,3638.0,197.0,160.0,2419.0,94.43,0.8845768
13,0.008944511,3636.0,174.0,162.0,2442.0,94.76,0.8914752
14,0.0070289457,3670.0,161.0,128.0,2455.0,95.49,0.90658486
15,0.005981856,3696.0,126.0,102.0,2490.0,96.45,0.92632884
16,0.0054147537,3712.0,96.0,86.0,2520.0,97.16,0.94122404
17,0.005675343,3685.0,115.0,113.0,2501.0,96.45,0.9263976
18,0.0055806627,3695.0,120.0,103.0,2496.0,96.52,0.9279613
19,0.0067084953,3683.0,146.0,115.0,2470.0,95.93,0.9156448
20,0.006954056,3683.0,139.0,115.0,2477.0,96.04,0.9179243
21,0.0068596615,3675.0,130.0,123.0,2486.0,96.06,0.91830504
22,0.0058077807,3715.0,113.0,83.0,2503.0,96.94,0.9366662
23,0.004464166,3724.0,92.0,74.0,2524.0,97.41,0.94637716
24,0.003977925,3728.0,84.0,70.0,2532.0,97.6,0.9502603
25,0.0044617853,3721.0,80.0,77.0,2536.0,97.55,0.9493149
26,0.0050875084,3719.0,111.0,79.0,2505.0,97.04,0.9386051
27,0.0056125475,3697.0,108.0,101.0,2508.0,96.74,0.9325133
28,0.0059496257,3686.0,130.0,112.0,2486.0,96.23,0.9218192
29,0.0045390916,3709.0,88.0,89.0,2528.0,97.24,0.9428714
30,0.0032446051,3733.0,76.0,65.0,2540.0,97.8,0.9544643
31,0.0037213382,3741.0,75.0,57.0,2541.0,97.94,0.9573636
32,0.0037883928,3737.0,69.0,61.0,2547.0,97.97,0.9580218
33,0.005212613,3716.0,114.0,82.0,2502.0,96.94,0.9366647
34,0.005511264,3711.0,115.0,87.0,2501.0,96.85,0.93472797
35,0.006030098,3711.0,131.0,87.0,2485.0,96.6,0.9295436
36,0.0055467566,3715.0,110.0,83.0,2506.0,96.99,0.93763906
37,0.0043220036,3728.0,77.0,70.0,2539.0,97.71,0.952534
38,0.0032718568,3743.0,68.0,55.0,2548.0,98.08,0.9602759
39,0.0032077222,3735.0,60.0,63.0,2556.0,98.08,0.9603056
40,0.0040061716,3720.0,68.0,78.0,2548.0,97.72,0.95290715
41,0.004698348,3719.0,83.0,79.0,2533.0,97.47,0.947698
42,0.0055132806,3693.0,119.0,105.0,2497.0,96.51,0.92764664
43,0.0051032268,3715.0,104.0,83.0,2512.0,97.08,0.9395864
44,0.0051864428,3709.0,105.0,89.0,2511.0,96.98,0.93733364
45,0.0035818208,3741.0,67.0,57.0,2549.0,98.07,0.9599565
46,0.0034251574,3746.0,65.0,52.0,2551.0,98.18,0.96221405
47,0.0034370008,3747.0,82.0,51.0,2534.0,97.93,0.95703906
48,0.004183792,3730.0,66.0,68.0,2550.0,97.91,0.95675284
49,0.0050579766,3713.0,107.0,85.0,2509.0,97.01,0.9379688
50,0.006408667,3696.0,136.0,102.0,2480.0,96.29,0.9230785
